years_experience,education,role,city_tier,salary
1,Bachelors,Software Developer,1,50000
2,Bachelors,Software Developer,1,60000
3,Bachelors,Software Developer,1,70000
5,Bachelors,Software Developer,1,85000
8,Bachelors,Software Developer,1,100000
1,Masters,Software Developer,1,60000
3,Masters,Software Developer,1,80000
5,Masters,Software Developer,1,100000
8,Masters,Software Developer,1,120000
1,Bachelors,Data Scientist,1,65000
3,Bachelors,Data Scientist,1,80000
5,Bachelors,Data Scientist,1,95000
8,Bachelors,Data Scientist,1,110000
1,Masters,Data Scientist,1,75000
3,Masters,Data Scientist,1,90000
5,Masters,Data Scientist,1,110000
8,Masters,Data Scientist,1,130000
10,Masters,Data Scientist,1,150000
1,PhD,Data Scientist,1,85000
3,PhD,Data Scientist,1,110000
5,PhD,Data Scientist,1,135000
8,PhD,Data Scientist,1,160000
1,Bachelors,Software Developer,2,45000
3,Bachelors,Software Developer,2,60000
5,Bachelors,Software Developer,2,75000
1,Masters,Software Developer,2,55000
3,Masters,Software Developer,2,70000
5,Masters,Software Developer,2,90000
1,Bachelors,Data Scientist,2,55000
3,Bachelors,Data Scientist,2,70000
5,Bachelors,Data Scientist,2,85000
1,Masters,Data Scientist,2,65000
3,Masters,Data Scientist,2,80000
5,Masters,Data Scientist,2,100000
1,PhD,Data Scientist,2,75000
3,PhD,Data Scientist,2,100000
5,PhD,Data Scientist,2,120000
